Offset(V)          Name                    PID   PPID   Thds     Hnds   Sess  Wow64 Start                          Exit                          
------------------ -------------------- ------ ------ ------ -------- ------ ------ ------------------------------ ------------------------------
0xfffffa8031517270 wsmprovhost.ex         4592    620     14      531      0      0 2019-06-25 21:56:29 UTC+0000                                 
0xfffffa803176e600 TaniumDetectEn         5828   3992      0 --------      0      0 2019-06-25 21:56:48 UTC+0000   2019-06-25 21:56:48 UTC+0000  
0xfffffa8034c4e600 TaniumDetectEn         5464   5828      4      109      0      0 2019-06-25 21:56:48 UTC+0000                                 
0xfffffa8033f05b10 DumpIt-64.exe          1996   4592      4      106      0      0 2019-06-25 21:56:56 UTC+0000                                 
0xfffffa8031745310 conhost.exe            2956    344      2       38      0      0 2019-06-25 21:56:56 UTC+0000                                 
0xfffffa8032792b10 MpCmdRun.exe           2880   5756      6      118      0      0 2019-06-25 21:58:08 UTC+0000                                 
0xfffffa80315f9b10 cmd.exe                1656    888      0 -------- ------      0 2019-06-25 21:59:00 UTC+0000   2019-06-25 21:59:00 UTC+0000  
0xfffffa803427db10 cmd.exe                3520    888      0 --------      0      0 2019-06-25 21:59:00 UTC+0000   2019-06-25 21:59:00 UTC+0000  
0xfffffa8033928190 conhost.exe            2072    344      0 -------- ------      0 2019-06-25 21:59:00 UTC+0000   2019-06-25 21:59:00 UTC+0000  
0xfffffa80339ad060 conhost.exe            3492    344      0 -------- ------      0 2019-06-25 21:59:00 UTC+0000   2019-06-25 21:59:00 UTC+0000  
0xfffffa803368c540 NETSTAT.EXE            5528   1656      0 -------- ------      0 2019-06-25 21:59:00 UTC+0000   2019-06-25 21:59:00 UTC+0000  
0xfffffa803380e3a0 find.exe               6136   1656      0 -------- ------      0 2019-06-25 21:59:00 UTC+0000   2019-06-25 21:59:00 UTC+0000  
0xfffffa8034053b10 find.exe               5892   1656      0 -------- ------      0 2019-06-25 21:59:00 UTC+0000   2019-06-25 21:59:00 UTC+0000  
0xfffffa8032f447d0 sc.exe                 1668   3520      0 -------- ------      0 2019-06-25 21:59:00 UTC+0000   2019-06-25 21:59:00 UTC+0000  
