Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x2f94010          TCPv4    127.0.0.1:49998                127.0.0.1:62073      ESTABLISHED      1496     java.exe       
0x2f94cf0          TCPv4    127.0.0.1:62311                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2f98990          TCPv4    127.0.0.1:49998                127.0.0.1:56490      ESTABLISHED      1496     java.exe       
0x2f99570          TCPv4    127.0.0.1:49998                127.0.0.1:63544      ESTABLISHED      1496     java.exe       
0x2fa07f0          TCPv4    127.0.0.1:62498                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2fa2010          TCPv4    127.0.0.1:49998                127.0.0.1:64142      ESTABLISHED      1496     java.exe       
0x2fa7b10          TCPv4    127.0.0.1:49998                127.0.0.1:54190      ESTABLISHED      1496     java.exe       
0x2faa010          TCPv4    127.0.0.1:49998                127.0.0.1:62475      ESTABLISHED      1496     java.exe       
0x2faa940          TCPv4    127.0.0.1:62389                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2fae2b0          TCPv4    127.0.0.1:62579                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2fb0a50          TCPv4    127.0.0.1:49998                127.0.0.1:61489      ESTABLISHED      1496     java.exe       
0x2fb5010          TCPv4    127.0.0.1:49998                127.0.0.1:57953      ESTABLISHED      1496     java.exe       
0x2fb87e0          TCPv4    127.0.0.1:62863                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2fb8cf0          TCPv4    127.0.0.1:63521                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2fba010          TCPv4    127.0.0.1:49998                127.0.0.1:62833      ESTABLISHED      1496     java.exe       
0x2ff2710          TCPv4    127.0.0.1:62514                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x2ff43e0          TCPv4    127.0.0.1:49998                127.0.0.1:62733      ESTABLISHED      1496     java.exe       
0x3038cf0          TCPv4    127.0.0.1:63934                127.0.0.1:49998      ESTABLISHED      632      java.exe       
0x303a9b0          TCPv4    127.0.0.1:49998                127.0.0.1:62637      ESTABLISHED      1496     java.exe       
