Offset(P)          Proto    Local Address                  Foreign Address      State            Pid      Owner          Created
0x10fe4d6d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10fe4dc20        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10fe5b1e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x10fe5b650        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110020cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110133010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110133650        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110133ba0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x1103273b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110327cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110334330        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110334cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110534b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x11071d250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x11071db90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x11074c3b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x11074ccf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110759b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x11075b580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x11075bec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110823b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110936580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110936970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110936ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x11094db90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110a5d970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110b25b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110b4b3b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110b4bcf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110e26010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x110e265c0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111423580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111423970        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111432b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x1117373b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111737900        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111737cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x1118163b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111816cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111824580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111824ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x11191cb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x1119583b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111958900        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111958cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x11195a580        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x11195aec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111b23330        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111b23cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111b26b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111d24010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111d24730        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111d55010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111d552e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111d556d0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111d5a2e0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111d5a660        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111d5aad0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111e0e3b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111e0e900        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111e0ecf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111e38b90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111e5f250        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111e5fb90        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111e64430        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111e64980        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111f32330        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111f32880        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111f32cf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111f5f3b0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111f5f900        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x111f5fcf0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x112144010        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x112144650        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
0x112158ec0        UDPv4    0.0.0.0:0                      *:*                                   1596     dns.exe        2019-09-16 19:36:10 UTC+0000
